simulation_id,simulation_type,mesh_id,material_surr,material_particle,simulation_result_filepath,tolerance,start_times,end_times,RelOrient_id
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2/CONST_EPS_1.8/Au/neq/tol_1e-05,neq,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/neq//clscale_0.95_clmax_1.2_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2/CONST_EPS_1.8/Au/scatter/tol_1e-05,scatter,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/scatter//clscale_0.95_clmax_1.2_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2/CONST_EPS_1.8/Au/tmatrix/tol_1e-05,tmatrix,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/tmatrix//clscale_0.95_clmax_1.2_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/neq/tol_1e-05,neq,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/neq//clscale_0.95_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/scatter/tol_1e-05,scatter,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/scatter//clscale_0.95_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/tmatrix/tol_1e-05,tmatrix,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//CONST_EPS_1.8/Au/tmatrix//clscale_0.95_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/neq/tol_1e-05,neq,wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.04//CONST_EPS_1.8/Au/neq//clscale_0.95_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/scatter/tol_1e-05,scatter,wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.04//CONST_EPS_1.8/Au/scatter//clscale_0.95_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/tmatrix/tol_1e-05,tmatrix,wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.04//CONST_EPS_1.8/Au/tmatrix//clscale_0.95_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/neq/tol_1e-05,neq,wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.08//CONST_EPS_1.8/Au/neq//clscale_0.95_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
